Date_Time,CO_sensor,month,week,day,day_of_year,day_of_week,hour,is_weekend,CO_sensor_lag_1,RH_lag_1,CO_sensor_lag_24,RH_lag_24,CO_sensor_lag_5_x,RH_lag_5_x,CO_sensor_lag_14_x,RH_lag_14_x,CO_sensor_lag_8_x,RH_lag_8_x,CO_sensor_lag_19_x,RH_lag_19_x,CO_sensor_lag_5_y,RH_lag_5_y,CO_sensor_lag_14_y,RH_lag_14_y,CO_sensor_lag_8_y,RH_lag_8_y,CO_sensor_lag_19_y,RH_lag_19_y,CO_sensor_window_mean_5,RH_window_mean_5,CO_sensor_window_std_5,RH_window_std_5,month_sin,month_cos,hour_sin,hour_cos
2004-04-05 00:00:00,1102.0,4,15,5,96,0,0,0,1188.0,60.8,1224.0,56.5,1420.0,44.6,1324.0,40.7,1345.0,36.0,1010.0,66.5,1420.0,44.6,1324.0,40.7,1345.0,36.0,1010.0,66.5,1256.6,53.839999999999996,130.0645993343308,6.854414635838718,0.8660254037844388,-0.4999999999999998,0.0,1.0
2004-04-05 01:00:00,969.0,4,15,5,96,0,1,0,1102.0,64.4,1215.0,59.2,1366.0,48.9,1268.0,37.1,1296.0,36.2,1074.0,69.1,1366.0,48.9,1268.0,37.1,1296.0,36.2,1074.0,69.1,1193.0,57.8,105.64563407921786,5.823658643842375,0.8660254037844388,-0.4999999999999998,0.2697967711570243,0.9629172873477994
2004-04-05 02:00:00,983.0,4,15,5,96,0,2,0,969.0,63.3,1115.0,62.4,1113.0,56.1,1272.0,33.8,1258.0,39.3,1034.0,64.8,1113.0,56.1,1272.0,33.8,1258.0,39.3,1034.0,64.8,1113.6,60.67999999999999,91.3361921693695,3.3625882888037246,0.8660254037844388,-0.4999999999999998,0.5195839500354336,0.8544194045464886
2004-04-05 03:00:00,876.0,4,15,5,96,0,3,0,983.0,61.5,1124.0,65.0,1196.0,58.8,1160.0,32.1,1420.0,44.6,1130.0,59.0,1196.0,58.8,1160.0,32.1,1420.0,44.6,1130.0,59.0,1087.6,61.760000000000005,108.44952743096667,2.1847196616499662,0.8660254037844388,-0.4999999999999998,0.730835964278124,0.6825531432186541
2004-04-05 04:00:00,884.0,4,15,5,96,0,4,0,876.0,56.9,1028.0,65.3,1188.0,60.8,1136.0,31.1,1366.0,48.9,1275.0,49.8,1188.0,60.8,1136.0,31.1,1366.0,48.9,1275.0,49.8,1023.6,61.379999999999995,122.05449602534104,2.8821866698740983,0.8660254037844388,-0.4999999999999998,0.8878852184023752,0.46006503773115215
2004-04-05 05:00:00,1024.0,4,15,5,96,0,5,0,884.0,54.0,1010.0,66.5,1102.0,64.4,1296.0,30.8,1113.0,56.1,1324.0,40.7,1102.0,64.4,1296.0,30.8,1113.0,56.1,1324.0,40.7,962.8,60.02,91.60622249607277,4.41893652364457,0.8660254037844388,-0.4999999999999998,0.9790840876823228,0.20345601305263397
2004-04-05 06:00:00,1126.0,4,15,5,96,0,6,0,1024.0,63.9,1074.0,69.1,969.0,63.3,1345.0,36.0,1196.0,58.8,1268.0,37.1,969.0,63.3,1345.0,36.0,1196.0,58.8,1268.0,37.1,947.2,59.92,64.65059937850528,4.299069666800009,0.8660254037844388,-0.4999999999999998,0.9976687691905392,-0.06824241336467089
2004-04-05 07:00:00,1415.0,4,15,5,96,0,7,0,1126.0,65.3,1034.0,64.8,983.0,61.5,1296.0,36.2,1188.0,60.8,1272.0,33.8,983.0,61.5,1296.0,36.2,1188.0,60.8,1272.0,33.8,978.6,60.31999999999999,104.0230743633353,4.7604621624375865,0.8660254037844388,-0.4999999999999998,0.9422609221188205,-0.33487961217098616
2004-04-05 08:00:00,1631.0,4,15,5,96,0,8,0,1415.0,62.5,1130.0,59.0,876.0,56.9,1258.0,39.3,1102.0,64.4,1160.0,32.1,876.0,56.9,1258.0,39.3,1102.0,64.4,1160.0,32.1,1065.0,60.519999999999996,221.5761720041214,4.842726504769802,0.8660254037844388,-0.4999999999999998,0.8169698930104421,-0.576680322114867
2004-04-05 09:00:00,1499.0,4,15,5,96,0,9,0,1631.0,58.8,1275.0,49.8,884.0,54.0,1420.0,44.6,969.0,63.3,1136.0,31.1,884.0,54.0,1420.0,44.6,969.0,63.3,1136.0,31.1,1216.0,60.9,302.9084019963791,4.553570028010983,0.8660254037844388,-0.4999999999999998,0.631087944326053,-0.7757112907044197
